;Arja;GenProg;Elixir;Nopol;Jkali;JMult;NPEfix
chartArja3;FN;;;;;TN;
chartArja5;FN;;;FN;;;
chartArja12;;;;;;;
chartJaid9;;TN;;;;;
chartJaid24;FP;;;;;TN;
chartJaid26;;FP;;;TP;;
chartNopol2015;;;;;;;
chartSequenceR;;;;;TN;;TN
chartssfix;;;;TN;;;TN
closureJaid18;TP;;FN;;;;
closureJaid31;;TN;;;;TN;
closureJaid33;;;;;;;TP
closureJaid40;;;;;;;
closureJaid126;;;;TP;;;
closureSequencer;TP;;;;;;
closureSimFix;;;;;;TN;
closureSketchFix;TP;;;;;;
LangACS7;;;;;;;TP
LangACS24;;;FP;;;;
LangACS35;;;;;;;
LangArja20;;;TN;;TN;;
LangArja35;;TP;;;;;
LangArja45;;;;;;;TP
LangCapGen34;;;TP;;;;
LangCapGen57;;;;;;;
LangDeepRepair7;;;;;;;
LangDeepRepair10;;;;;;;
LangDeepRepair22;TP;;;;;;
LangDeepRepair24;;;;;;;
LangElixir26;;TN;TP;TN;;;
LangElixir33;;;;;;;
LangElixir57;;;TP;;;;
LangJaid33;;;FP;;;;
LangJaid38;;;;;;;
LangJaid51;;;;;;;
LangJaid55;;;FP;;;;
LangNopol44;;;;;;;
LangNopol58;;;;;TN;;
LangSimFix16;;;;;;;
LangSimFix27;;;;;;TN;TP
LangSimFix39;;;;;;;
LangSimFix41;;;;;;;
LangSimFix60;;;;;;;
LangSketchFix;;;;;;;
LangssFix;;;;TP;;TN;
MathAcs5;;;;;;;
MathAcs35;;TN;;;;;
MathAcs82;;;;;;;
MathAcs85;;;;;TN;;
MathAcs89;;;;TN;TN;;
MathAcs90;;;;;;;
MathAcs93;;;;;;;
MathAcs99;;;;;;;
MathArja39;;TN;;;;;
MathArja53;;;;;;;
MathArja58;;;;;;TN;
MathArja73;;;;;;;
MathArja86;;TN;;;;;TN
MathCapGen;;;;;;;
MathJaid5;;;;;;TN;
MathJaid32;;;;TP;;;
MathJaid50;;;;;;;TP
MathJaid53;;;;TN;;;
MathJaid80;;;;;;;
MathJaid85;;;;;TN;;
MathGenProg2015;;;;TN;;;
MathNopol2015;;;;;TN;TN;
MathsequenceR5;TP;;;;;;
MathsequenceR82;TP;;;;;;
MathSimFix35;;;;;;;
MathSimFix50;;;;;;;
MathSimFix63;;;;;;;FP
MathSimFix71;;;;;;;
MathSofix;;;;;;;
MathssFix;;FP;;;;;
TimeArja;;;;;;;
TimeElixir;;;;;;;
TimeSimFix;;;TN;;TN;;
